title,url,seendate,domain,NM_count,MO_count,ID_count,ND_count,SC_count,OH_count,ALL_RELEV_count,PA_count,AL_count,FL_count,IA_count,OR_count,NH_count,VA_count,AZ_count,KY_count,CT_count,USA_count,MI_count,KS_count,VT_count,RI_count,CA_count,ME_count,OK_count,IN_count,MS_count,NV_count,MT_count,TN_count,TX_count,GA_count,UT_count,HI_count,NE_count,MN_count,WI_count,CO_count,IL_count,WV_count,LA_count,AK_count,DE_count,NY_count,MD_count,WY_count,NC_count,SD_count,MA_count,NJ_count
Controversial critical race theory bill yet to be finalized days before Texas Legislature adjourns,https://www.ksat.com/news/local/2021/05/28/controversial-critical-race-theory-bill-yet-to-be-finalized-days-before-texas-legislature-adjourns/,20210528T010000Z,ksat.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
School Officials Back Superintendent Who Would Mandate CRT – PJ Media,https://pjmedia.com/news-and-politics/tyler-o-neil/2021/05/27/oregon-doe-school-board-stand-by-superintendent-who-said-critical-race-theory-isnt-optional-n1450310,20210528T023000Z,pjmedia.com,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AZ legislators OK ban on  critical race theory  training for public workers,https://tucson.com/news/local/az-legislators-ok-ban-on-critical-race-theory-training-for-public-workers/article_a764068c-bf28-11eb-b90d-2b289e97d8c4.html,20210528T033000Z,tucson.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Cotton Grills Biden Nominee on Critical Race Theory at Sandia Labs,https://www.breitbart.com/politics/2021/05/27/tom-cotton-grills-biden-nuclear-nominee-jill-hruby-on-incorporating-critical-race-theory-at-sandia-labs/,20210528T040000Z,breitbart.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana AG Issues Legal Opinion Ruling Critical Race Theory Violates Equal Protection,https://www.theepochtimes.com/montana-ag-issues-legal-opinion-ruling-critical-race-theory-violates-equal-protection_3832967.html,20210528T041500Z,theepochtimes.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSNBC Reid : Right Fighting Critical Race Theory an Attempt to Avoid Repairing America  Raw , Racial Violence  ",https://www.breitbart.com/clips/2021/05/27/msnbcs-reid-right-fighting-critical-race-theory-an-attempt-to-avoid-repairing-americas-raw-racial-violence/,20210528T053000Z,breitbart.com,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local and national debate heats up over Critical Race Theory,https://www.cachevalleydaily.com/news/archive/2021/05/27/local-and-national-debate-heats-up-over-critical-race-theory/,20210528T054500Z,cachevalleydaily.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona GOP looks to limit critical race theory training,https://www.fox10phoenix.com/news/arizona-gop-looks-to-limit-critical-race-theory-training1,20210528T064500Z,fox10phoenix.com,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Critical Race Theory Is Worse Than Marxism,https://www.lewrockwell.com/2021/05/paul-gottfried/critical-race-theory-is-worse-than-marxism/,20210528T081500Z,lewrockwell.com,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Critical of critical race theory,https://www.fredericknewspost.com/opinion/letter_to_editor/critical-of-critical-race-theory/article_c321eb6e-bf7e-5f27-bdf4-203541d07e35.html,20210528T083000Z,fredericknewspost.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Can critical race theory and patriotism coexist in classrooms ? ,https://www.nbcnews.com/news/us-news/can-critical-race-theory-patriotism-coexist-classrooms-n1268824,20210528T103000Z,nbcnews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
